name,year,total_taxes,property_taxes,sales_and_gross_receipts_taxes,general_sales_and_gross_receipts_taxes,selective_sales_and_gross_receipts_taxes,alcoholic_beverages_sales_tax,amusements_sales_tax,insurance_premiums_sales_tax,motor_fuels_sales_tax,pari_mutuels_sales_tax,public_utilities_sales_tax,tobacco_products_sales_tax,other_selective_sales_and_gross_receipts_taxes,license_taxes,alcoholic_beverages_license,amusements_license,corporations_in_general_license,hunting_and_fishing_license,motor_vehicle_license,motor_vehicle_operators_license,public_utilities_license,occupation_and_business_license_nec,other_license_taxes,income_taxes,individual_income_taxes,corporations_net_income_taxes,other_taxes,death_and_gift_taxes,documentarty_and_stock_transfer_taxes,severance_taxes,taxes_nec
pennsylvania,2020,40684520,39359,21445063,11630402,9814661,391289,1187235,859583,3110295,6918,1109338,1239528,1910475,2594319,38186,26825,5440,82290,1150355,77883,62800,1129790,20750,14882239,12372183,2510056,1723540,1051259,636662,0,35619
pennsylvania,2019,43132450,37234,22140157,11747314,10392843,430811,1465201,845210,3348366,9690,1255372,1303846,1734347,2773590,44970,209498,4037,75622,1153788,82461,84461,1097983,20770,16479430,13517069,2962361,1702039,1017275,655663,0,29101
rhode-island,2020,3526786,2843,1878089,1157312,720777,20115,0,117315,71415,845,105991,138761,266335,120821,86,189,5266,1844,29627,5417,2440,69691,6261,1455159,1241856,213303,69874,56325,13549,0,0
rhode-island,2019,3560293,2774,1830507,1120139,710368,20727,0,117152,75636,1145,103042,137322,255344,116141,89,196,5057,1907,29901,5141,2255,65712,5883,1552958,1376495,176463,57913,43540,14373,0,0
south-carolina,2020,11794684,42290,5381858,3565480,1816378,187462,34030,253175,756658,0,27904,26694,530455,633783,12645,4324,130868,20152,303975,4711,13740,124334,19034,5600556,5095531,505025,136197,0,136197,0,0
south-carolina,2019,11221043,42450,5241143,3463666,1777477,185461,41476,244412,725758,0,29077,28311,522982,648504,14210,6166,112008,18429,306718,5547,10457,156520,18449,5155320,4759113,396207,133626,0,133626,0,0
south-dakota,2020,2018423,0,1678709,1204351,474358,18505,8431,88120,188356,98,3179,51081,116588,295378,1321,5892,6675,31020,84815,4912,0,134857,25886,37459,0,37459,6877,0,181,5881,815
south-dakota,2019,1940415,0,1614664,1144682,469982,17571,9005,90906,189831,130,3236,45760,113543,273497,1214,5851,6268,29206,84902,4762,0,117943,23351,46295,0,46295,5959,0,189,5770,0
tennessee,2020,16775270,0,13219753,9708042,3511711,213823,0,1048375,1210141,0,7479,236922,794971,1672204,1556,207,818243,41552,353924,60475,5937,381875,8435,1562523,57642,1504881,320790,0,304090,828,15872
tennessee,2019,16450938,0,12353713,9469967,2883746,222101,0,995376,1167127,0,7974,245923,245245,1909972,1690,331,1030934,37611,372253,60035,4983,393486,8649,1899369,201900,1697469,287884,2235,265319,1024,19306
texas,2020,61013294,0,53342923,38412349,14930574,1132858,17844,2741653,3524712,4210,658891,1299014,5551392,3396564,76238,13445,204061,119872,2075524,155619,20880,579589,151336,0,0,0,4273807,0,0,4273807,0
texas,2019,63314370,0,53905367,38123052,15782315,1372693,32157,2599025,3743004,6035,648614,1410391,5970396,3643272,74627,15543,154534,109168,2227727,150995,21357,744305,145016,0,0,0,5765731,0,0,5765731,0
utah,2020,8731412,0,4226560,3105441,1121119,9498,0,150390,482527,0,51229,105047,322428,356811,5577,0,443,32276,228294,24475,0,58401,7345,4094707,3734504,360203,53334,0,0,53188,146
utah,2019,9918773,0,4012002,2832742,1179260,8347,0,155655,571499,0,56445,112090,275224,359311,5856,0,483,31841,233944,21727,0,57456,8004,5501011,4978629,522382,46449,0,0,45797,652
vermont,2020,3419990,1150268,1164652,431582,733070,10762,0,60807,116428,0,9311,71189,464573,140193,411,24,3729,8245,73514,14778,0,29028,10464,904264,762641,141623,60613,15168,39775,0,5670
vermont,2019,3470585,1111956,1165401,412300,753101,28985,0,57765,126614,0,9020,68434,462283,126071,477,23,3664,7183,69334,14860,0,26160,4370,1010471,860639,149832,56686,12630,38631,0,5425
virginia,2020,28064536,36381,10067447,5720715,4346732,266361,84,549082,1101139,0,518794,162294,1748978,972928,15604,113,66069,26459,446812,138837,635,213191,65208,16358821,14996649,1362172,628959,81,554295,2042,72541
virginia,2019,27076451,32599,9425132,5457799,3967333,244877,88,554299,1083719,0,531464,151287,1401599,939377,15096,110,64783,24729,427129,140870,611,202471,63578,16164873,14917745,1247128,514470,216,442970,3357,67927
washington,2020,29017067,3738779,21763083,16929551,4833532,420292,3656,691393,1564979,1030,585310,390317,1176555,1615374,187534,14942,45559,42573,648425,104615,20778,379875,171073,0,0,0,1899831,634915,1226500,38408,8
washington,2019,27992437,3358585,21373727,16647080,4726647,389822,4675,640136,1697722,1615,589724,397049,1005904,1746818,164790,12713,42722,41887,836075,87780,20752,362762,177337,0,0,0,1513307,300324,1165883,47100,0
west-virginia,2020,5468925,7392,2818977,1386571,1432406,18181,27144,128500,427273,2876,137346,168750,522336,256240,44688,4154,728,14326,4355,143600,340,40541,3508,2099935,1947946,151989,286381,0,12188,267049,7144
west-virginia,2019,5816816,6900,2790535,1368000,1422535,17924,35530,129358,443423,2907,124500,171224,497669,240841,944,3913,798,12547,5203,182223,469,31388,3356,2295606,2096807,198799,482934,0,12990,462451,7493
wisconsin,2020,20114894,101087,8697812,5836215,2861597,63263,167,240503,1103699,402,350881,661240,441442,1256103,2001,449,23956,93204,657150,39578,66173,366313,7279,9955825,8514409,1441416,104067,41,77430,11990,14606
wisconsin,2019,19930137,103230,8494354,5695550,2798804,62124,169,216754,1116530,328,360211,599794,442894,1126330,2011,603,25399,86015,525370,41216,67197,371710,6809,10103212,8759680,1343532,103011,6,77388,11531,14086
wyoming,2020,1963896,295983,951816,764917,186899,2062,326,29909,118945,6521,4955,21223,2958,204750,0,109,15761,42401,99034,4223,0,43222,0,0,0,0,511347,0,0,505573,5774
wyoming,2019,2110704,273518,953905,770241,183664,1976,0,26356,120665,6077,3874,21736,2980,208741,0,0,14923,40602,98837,4248,0,50131,0,0,0,0,674540,0,0,668178,6362
